Play Id,Build Version,Timestamp,Local Time,Playtime,Seed Played,Is Ascension Mode,Ascension Level,Victory,Score,Floor Reached,Killed By,Character Chosen,Master Deck,Relics,Neow Bonus,Neow Cost,Gold,Gold Per Floor,Player Experience,Path Per Floor,Path Taken,Campfire Rested,Campfire Upgraded,Campfire Choices,,,Max Hp Per Floor,Current Hp Per Floor,Damage Taken,,,,Card Choices,,,Relics Obtained,,Boss Relics,,Event Choices,,,,,,,,,,,,,,,,Items Purchased,Item Purchase Floors,Items Purged,Items Purged Floors,Purchased Purges,Potions Obtained,,Potions Floor Spawned,Potions Floor Usage
,,,,,,,,,,,,,,,,,,,,,,,,floor,key,data,,,damage,enemies,floor,turns,not_picked,picked,floor,floor,key,not_picked,picked,floor,event_name,player_choice,damage_healed,damage_taken,max_hp_gain,max_hp_loss,gold_gain,gold_loss,cards_obtained,cards_removed,cards_upgraded,cards_transformed,relics_obtained,relics_lost,potions_obtained,,,,,,floor,key,,
d6c43f4b-43c6-4766-83af-2090b9684abc,2020-07-30,1601509578,20201001014618,4189,6298660558196545053,True,1,True,836,51,,DEFECT,"Strike_B+1, Defend_B, Defend_B+1, Defend_B+1, Zap, Dualcast+1, Rebound, Capacitor+1, Genetic Algorithm+1, Electrodynamics+1, Fusion, Creative AI, Conserve Battery, Capacitor+1, Doom and Gloom, Static Discharge, Sweeping Beam, Rainbow, Ball Lightning+1, Rainbow, Cold Snap+1, Amplify, Electrodynamics+1, Melter+1","Cracked Core, Tiny Chest, Ancient Tea Set, Bag of Preparation, WingedGreaves, Nunchaku, Strawberry, Black Star, White Beast Statue, MawBank, War Paint, Sundial, Sling, Mummified Hand, Gambling Chip, SlaversCollar, HornCleat, Centennial Puzzle, Turnip, Dead Branch, Oddly Smooth Stone, Cables, Girya, Bird Faced Urn, Meat on the Bone, Bag of Marbles, Blood Vial, Medical Kit",HUNDRED_GOLD,NONE,59,"219, 219, 1, 1, 1, 32, 32, 59, 59, 59, 134, 157, 157, 8, 8, 105, 105, 120, 120, 132, 147, 147, 147, 176, 188, 200, 65, 65, 81, 116, 130, 130, 234, 234, 251, 265, 265, 282, 355, 382, 382, 414, 489, 539, 539, 573, 585, 59, 59, 59",207637,"M, ?, $, ?, ?, E, R, E, T, R, ?, T, ?, $, R, B, None, M, ?, M, M, T, R, E, R, T, $, R, M, E, M, R, B, None, M, M, ?, M, T, E, R, E, T, ?, R, E, M, $, R, B, None","M, ?, $, ?, ?, E, R, E, T, R, ?, ?, ?, $, R, BOSS, M, ?, ?, M, ?, R, E, R, T, ?, R, M, E, M, R, BOSS, M, ?, ?, M, ?, E, R, E, T, ?, R, E, M, $, R, BOSS",7,3,7.0; 10.0; 15.0; 23; 25; 28; 32; 41; 45; 49,SMITH; REST; REST; REST; REST; SMITH; REST; REST; SMITH; REST,Genetic Algorithm; ; ; ; ; Electrodynamics; ; ; Electrodynamics; ,"75, 75, 75, 75, 80, 80, 80, 80, 80, 80, 80, 80, 80, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87","74, 59, 59, 59, 64, 41, 41, 21, 21, 45, 34, 34, 34, 41, 67, 9, 87, 54, 54, 40, 30, 30, 56, 29, 55, 55, 55, 55, 53, 23, 12, 38, 29, 87, 62, 62, 62, 46, 46, 20, 46, 32, 32, 47, 47, 28, 31, 31, 57, 47",1.0; 23.0; 20.0; 58; 33; 14; 10; 27; 2; 30; 11; 9; 25; 0; 16; 26; 14; 0; 19; 19; 64,Jaw Worm; 3 Sentries; Lagavulin; Hexaghost; 2 Thieves; Spheric Guardian; Centurion and Healer; Slavers; 3 Cultists; Book of Stabbing; Shelled Parasite and Fungi; Champ; 3 Darklings; 3 Shapes; Jaw Worm Horde; Nemesis; Reptomancer; Mind Bloom Boss Battle; Giant Head; 4 Shapes; Awakened One,1.0; 6.0; 8.0; 16; 18; 20; 21; 24; 29; 30; 31; 33; 35; 36; 38; 40; 42; 44; 46; 47; 50,4.0; 7.0; 6.0; 10; 4; 5; 8; 2; 3; 4; 4; 8; 4; 1; 3; 7; 4; 6; 8; 4; 8,"Coolheaded, Turbo; Recycle, Gash; Darkness, Streamline; Reboot, Core Surge; Gash, Turbo; Conserve Battery, Barrage; FTL+1, Rebound+1; Cold Snap, Capacitor; Rebound, Beam Cell; Redo, Steam Power+1; Sweeping Beam, Coolheaded; Echo Form, Thunder Strike; Hologram+1, Streamline+1; Gash, Compile Driver, Conserve Battery; Turbo, Hologram+1, Compile Driver+1; Steam Power+1, Darkness, Gash+1; Fission, Recycle+1; Compile Driver+1, Force Field+1; Steam, Redo, Ball Lightning",Rebound; Genetic Algorithm; Electrodynamics; Creative AI; Conserve Battery; Capacitor+1; Doom and Gloom; Static Discharge; Sweeping Beam; Rainbow; Ball Lightning+1; Rainbow; Cold Snap+1; SKIP; SKIP; SKIP; Electrodynamics; Melter+1; SKIP,1.0; 6.0; 8.0; 16; 18; 20; 21; 24; 29; 30; 31; 33; 35; 36; 38; 40; 42; 46; 47,6.0; 8.0; 9.0; 12.0; 22; 24; 24; 26; 30; 30; 39; 40; 40; 42; 42; 43; 44; 46; 46,Ancient Tea Set; Bag of Preparation; WingedGreaves; Nunchaku; White Beast Statue; MawBank; War Paint; Sundial; Mummified Hand; Gambling Chip; HornCleat; Centennial Puzzle; Turnip; Dead Branch; Oddly Smooth Stone; Cables; Girya; Bird Faced Urn; Meat on the Bone,"Snecko Eye, Inserter; Empty Cage, Astrolabe",Black Star; SlaversCollar,2.0; 4.0; 5.0; 11.0; 13.0; 19; 37; 44,Shining Light; Living Wall; Big Fish; World of Goop; Transmorgrifier; Bonfire Elementals; Transmorgrifier; MindBloom,Entered Light; Grow; Donut; Gather Gold; Transformed; Offered Basic; Transformed; Fight,0.0; 0.0; 0.0; 0.0; 0.0; 0; 0; 0,15.0; 0.0; 0.0; 11.0; 0.0; 0; 0; 0,0.0; 0.0; 5.0; 0.0; 0.0; 0; 0; 0,0.0; 0.0; 0.0; 0.0; 0.0; 0; 0; 0,0.0; 0.0; 0.0; 75.0; 0.0; 0; 0; 0,0.0; 0.0; 0.0; 0.0; 0.0; 0; 0; 0,; ; ; ; Fusion; ; Amplify; ,; ; ; ; ; Strike_B; ; ,"Strike_B, Defend_B; Capacitor; ; ; ; ; ; ",; ; ; ; Defend_B; ; Strike_B; ,; ; ; ; ; ; ; ,; ; ; ; ; ; ; ,; ; ; ; ; ; ; ,"Tiny Chest, Capacitor, Strawberry, Sling, Bag of Marbles, Blood Vial, Medical Kit","3, 3, 14, 27, 48, 48, 48",Strike_B,48,1,16; 20; 24; 29; 30; 31; 33; 35; 36; 38; 40; 42; 44; 46,SneckoOil; SpeedPotion; FocusPotion; SkillPotion; Swift Potion; EntropicBrew; Energy Potion; Strength Potion; Strength Potion; SteroidPotion; ColorlessPotion; Regen Potion; SkillPotion; BlessingOfTheForge,"16, 20, 24, 29, 30, 31, 33, 35, 36, 38, 40, 42, 44, 46, 47","20, 21, 30, 30, 31, 33, 33, 33, 33, 38, 40, 42, 44, 46, 50, 50, 50"
5f63c34f-a063-4ce5-bab8-1f5c9042767b,2020-07-30,1601509577,20201001074617,72,-4602039511515361411,False,0,False,0,0,,DEFECT,"Strike_B, Strike_B, Strike_B, Strike_B, Defend_B, Defend_B, Defend_B, Defend_B, Zap, Dualcast",Cursed Key,BOSS_RELIC,NONE,99,"99, 99",37520,,,0,0,,,,"75, 75","75, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
334f13a3-2802-4354-a8bf-6780de1d182b,2020-07-30,1601509576,20201001004616,499,3994671790708175754,True,18,False,344,23,Slavers,WATCHER,"AscendersBane, Defend_P, Defend_P, Defend_P, Eruption+1, Vigilance, Consecrate, Ragnarok+1, Worship+1, Fasting2, Injury, TalkToTheHand+1, Tantrum, Halt+1, DevaForm+1, FollowUp+1, EmptyBody+1, Perseverance","PureWater, Vajra, Pen Nib, Golden Idol, Astrolabe",RANDOM_COMMON_RELIC,NONE,279,"117, 117, 117, 137, 58, 58, 58, 58, 58, 58, 77, 77, 96, 120, 120, 219, 219, 242, 263, 263, 279, 279, 279, 279",1296277,"M, ?, ?, M, $, R, ?, R, T, R, M, ?, M, M, R, B, None, M, M, ?, M, ?, E","M, ?, ?, M, $, R, ?, R, T, R, M, ?, M, M, R, BOSS, M, M, ?, ?, ?, E",0,4,6.0; 8.0; 10.0; 15.0,SMITH; SMITH; SMITH; SMITH,Ragnarok; Eruption; Worship; TalkToTheHand,"68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 78, 78, 78","56, 56, 56, 49, 49, 49, 42, 42, 42, 42, 42, 42, 37, 37, 37, 18, 56, 56, 50, 50, 36, 78, 0, 0",5.0; 7.0; 0.0; 5.0; 0.0; 19.0; 0.0; 6.0; 14.0; 89,2 Louse; Jaw Worm; Cultist; Blue Slaver; Exordium Thugs; The Guardian; 3 Byrds; Shell Parasite; Cultist and Chosen; Slavers,1.0; 4.0; 11.0; 13.0; 14.0; 16.0; 18.0; 19.0; 21.0; 23,3.0; 2.0; 4.0; 3.0; 1.0; 8.0; 2.0; 4.0; 7.0; 4,"CarveReality, Crescendo; Crescendo, CrushJoints; Halt, PathToVictory, Wireheading; BowlingBash, Meditate; Collect, CrushJoints; MasterReality, Alpha; Crescendo, FollowUp; Halt, Conclude, Crescendo; FearNoEvil, Crescendo",Consecrate; Worship; SKIP; TalkToTheHand; Tantrum; DeusExMachina; EmptyBody+1; SKIP; Perseverance,1.0; 4.0; 11.0; 13.0; 14.0; 16.0; 18.0; 19.0; 21.0,9.0,Pen Nib,"Busted Crown, SacredBark",Astrolabe,2.0; 3.0; 7.0; 12.0; 20.0; 22.0,The Cleric; Living Wall; Golden Wing; Golden Idol; Lab; Bonfire Elementals,Leave; Change; Card Removal; Take Wound; Got Potions; Offered Rare,0.0; 0.0; 0.0; 0.0; 0.0; 32.0,0.0; 0.0; 7.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 0.0; 10.0,0.0; 0.0; 0.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 0.0; 0.0,; Ragnarok; ; Injury; ; ,; ; Defend_P; ; ; DeusExMachina,; ; ; ; ; ,; Strike_P; ; ; ; ,; ; ; Golden Idol; ; ,; ; ; ; ; ,; ; ; ; ; ,Fasting2,5,,,0,1.0; 4.0; 18.0; 20.0,Swift Potion; DistilledChaos; AttackPotion; CultistPotion,"1, 4, 18",23
f3d9452e-812a-4c74-9227-8a6cbfb6c63a,2020-07-30,1601509580,20200930194620,922,-1052774224704604300,False,0,False,216,23,Slavers,WATCHER,"Strike_P, Strike_P, Strike_P, Strike_P, Defend_P, Defend_P, Defend_P, Defend_P, Eruption+1, Vigilance, EmptyFist, FollowUp, DevaForm, FollowUp, Decay, Adaptation, SignatureMove+1, Regret, ConjureBlade, EmptyBody, Tantrum+1, Worship, Pray","PureWater, NeowsBlessing, Meat on the Bone, Sundial, Lantern, Fusion Hammer, Bag of Marbles",THREE_ENEMY_KILL,NONE,24,"112, 112, 112, 112, 132, 132, 164, 175, 175, 175, 191, 209, 209, 209, 209, 306, 306, 286, 305, 305, 322, 24, 24, 24",21835,"M, ?, $, ?, M, R, E, M, T, ?, M, M, ?, ?, R, B, None, M, M, ?, M, $, E","M, ?, $, ?, M, R, E, M, T, ?, ?, M, ?, ?, R, BOSS, M, M, ?, ?, $, E",0,2,6; 15,SMITH; SMITH,Eruption; SignatureMove,"72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 69, 69, 69","72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 62, 47, 65, 65, 65, 39, 72, 45, 41, 41, 21, 21, 0, 0",0; 0; 0; 0; 10; 15; 53; 27; 16; 46; 30,Small Slimes; 2 Louse; Gremlin Nob; Cultist; 3 Louse; 2 Fungi Beasts; Slime Boss; 2 Thieves; Chosen; Centurion and Healer; Slavers,1; 5; 7; 8; 11; 12; 16; 18; 19; 21; 23,1; 1; 1; 2; 2; 2; 11; 4; 6; 7; 3,"Wallop, BowlingBash; EmptyFist, Halt; FollowUp, InnerPeace; Swivel, ThirdEye; Study, Pray; Protect, ThirdEye; Ragnarok, DevaForm; ClearTheMind, Protect; Sanctity, CutThroughFate; Evaluate, Weave+1",EmptyFist; FollowUp; DevaForm; FollowUp; Adaptation; SignatureMove; ConjureBlade; EmptyBody; Tantrum+1; Worship,1; 5; 7; 8; 11; 12; 16; 18; 19; 21,7; 9,Meat on the Bone; Sundial,"Empty Cage, Sozu",Fusion Hammer,2; 4; 10; 13; 14; 20,Golden Wing; The Cleric; Wheel of Change; Mushrooms; Big Fish; N'loth,Ignored; Leave; Cursed; Healed and dodged fight; Box; Ignored,0; 0; 0; 18; 0; 0,0; 0; 0; 0; 0; 0,0; 0; 0; 0; 0; 0,0; 0; 0; 0; 0; 0,0; 0; 0; 0; 0; 0,0; 0; 0; 0; 0; 0,; ; Decay; Parasite; Regret; ,; ; ; ; ; ,; ; ; ; ; ,; ; ; ; ; ,; ; ; ; Lantern; ,; ; ; ; ; ,; ; ; ; ; ,"Bag of Marbles, Pray","22, 22",Parasite,22,1,1; 7; 8; 11; 18; 21,BlessingOfTheForge; SkillPotion; Regen Potion; Regen Potion; Swift Potion; Weak Potion,"1, 7, 8, 11, 18, 21","16, 16, 21, 21"
eb00d17f-42c2-45f0-a22c-a34f31d19894,2020-07-30,1601509582,20201001014622,1246,-2938357675491262474,True,15,False,67,6,Lagavulin,WATCHER,"AscendersBane, Strike_P, Strike_P, Strike_P, Strike_P, Defend_P, Defend_P, Defend_P, Defend_P, Eruption, Vigilance, Panache+1, Consecrate, WheelKick, FlurryOfBlows, Judgement",PureWater,RANDOM_COLORLESS_2,NO_GOLD,59,"15, 15, 30, 46, 59, 59, 59",706112,"M, ?, M, M, M, E","M, ?, M, M, M, E",0,0,,,,"68, 68, 68, 68, 68, 68, 68","61, 61, 56, 56, 38, 0, 0",0.0; 5.0; 0.0; 18; 39,Jaw Worm; 2 Louse; Cultist; Exordium Wildlife; Lagavulin,1.0; 3.0; 4.0; 5; 6,3.0; 3.0; 2.0; 3; 8,"Chrysalis, Secret Technique; Crescendo, FlyingSleeves; SashWhip, Protect; ClearTheMind, Nirvana; Swivel, BowlingBash",Panache; Consecrate; WheelKick; FlurryOfBlows; Judgement,0.0; 1.0; 3.0; 4.0; 5,,,,,2.0,Living Wall,Grow,0.0,0.0,0.0,0.0,0.0,0.0,,,Panache,,,,,,,,,0,3.0; 5,DistilledChaos; Weak Potion,"3, 5",6
9d7b35f1-bd0b-4767-8e94-fc85d4982b05,2020-07-30,1601509580,20201001074620,1708,7879785953155601519,True,3,False,268,27,Centurion and Healer,WATCHER,"Strike_P, Defend_P, Defend_P, FearNoEvil+1, Establishment+1, CutThroughFate, Prostrate, FollowUp, Devotion+1, Wireheading+1, Consecrate, EmptyFist+1, Pray, Protect+1, FollowUp, Blasphemy, CarveReality","Astrolabe, Juzu Bracelet, Mummified Hand, Damaru, Bag of Preparation, Empty Cage, Frozen Egg 2, Calipers",BOSS_RELIC,NONE,94,"116, 116, 131, 148, 167, 167, 201, 221, 221, 221, 171, 20, 20, 20, 20, 122, 122, 141, 156, 36, 46, 63, 63, 94, 94, 94, 94, 94",140123,"M, ?, M, M, M, R, E, M, T, R, ?, $, R, ?, R, B, None, M, M, $, M, M, R, E, R, T, M","M, ?, M, M, M, R, E, M, T, R, ?, ?, R, ?, R, BOSS, M, M, $, M, M, R, E, R, T, M",3,3,6; 10; 13; 15; 23; 25,SMITH; REST; SMITH; REST; SMITH; REST,Devotion; ; Wireheading; ; Protect; ,"72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72","72, 72, 65, 63, 55, 55, 25, 13, 13, 34, 34, 34, 34, 22, 43, 20, 72, 70, 54, 54, 53, 38, 38, 13, 34, 34, 0, 0",0; 7; 2; 8; 30; 12; 23; 2; 16; 1; 15; 25; 34,Small Slimes; Jaw Worm; Cultist; Large Slime; Gremlin Nob; 2 Fungi Beasts; Slime Boss; Chosen; Shell Parasite; 3 Cultists; Snake Plant; Slavers; Centurion and Healer,1; 3; 4; 5; 7; 8; 16; 18; 19; 21; 22; 24; 27,5; 2; 3; 6; 4; 4; 4; 3; 3; 4; 2; 5; 3,"Vengeance, PathToVictory; Meditate, Consecrate; Evaluate, Fasting2; JustLucky, Halt; InnerPeace, Conclude; JustLucky, Fasting2; Crescendo, CrushJoints+1; Crescendo, Halt+1; TalkToTheHand, SashWhip; CrushJoints+1, InnerPeace; CutThroughFate, Nirvana+1",CutThroughFate; Prostrate; FollowUp; Devotion; Wireheading; Consecrate; EmptyFist+1; Pray; FollowUp; Blasphemy; CarveReality,1; 3; 4; 5; 7; 8; 18; 19; 21; 22; 24,7; 9; 24; 26,Juzu Bracelet; Mummified Hand; Frozen Egg 2; Calipers,"SlaversCollar, Busted Crown",Empty Cage,2; 11; 14,Living Wall; The Cleric; Scrap Ooze,Forget; Card Removal; Success,0; 0; 0,0; 0; 12,0; 0; 0,0; 0; 0,0; 0; 0,0; 50; 0,; ; ,Defend_P; Strike_P; ,; ; ,; ; ,; ; Bag of Preparation,; ; ,; ; ,"Damaru, Protect","12, 20",Defend_P,20,1,4; 5; 7; 19; 21,Swift Potion; Swift Potion; BlessingOfTheForge; Explosive Potion; FearPotion,"4, 5, 7, 19, 21","5, 16, 16, 21, 22"
f292edc7-5534-4a83-b420-1a176f144984,2020-07-30,1601509581,20201001074621,412,1637600232382416524,True,11,False,171,16,Hexaghost,IRONCLAD,"AscendersBane, Strike_R, Strike_R, Strike_R, Strike_R+1, Strike_R, Defend_R+1, Defend_R, Defend_R, Defend_R, Bash, Heavy Blade, Infernal Blade+1, Cleave, Flex, Spot Weakness, Corruption","Burning Blood, Paper Frog, Bottled Flame, Sundial",HUNDRED_GOLD,NONE,306,"218, 218, 183, 194, 194, 194, 229, 229, 229, 229, 246, 256, 275, 306, 306, 306, 306",196031,"M, ?, ?, M, ?, R, E, R, T, R, M, M, M, E, R, B","M, ?, ?, M, ?, R, E, R, T, R, ?, M, ?, E, R, BOSS",4,0,6; 8; 10; 15,REST; REST; REST; REST,; ; ; ,"80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80","50, 34, 54, 48, 48, 72, 22, 46, 46, 70, 75, 59, 65, 51, 75, 0, 0",28; 12; 56; 1; 22; 0; 20; 76,Jaw Worm; Small Slimes; Gremlin Nob; Cultist; Looter; Exordium Thugs; 3 Sentries; Hexaghost,1; 4; 7; 11; 12; 13; 14; 16,4; 3; 5; 3; 3; 1; 4; 8,"Thunderclap, Body Slam; Heavy Blade, Pommel Strike; Ghostly Armor, Body Slam; Fire Breathing, Twin Strike; Clothesline, Cleave; Cleave, Shrug It Off; Cleave, Clothesline, Dropkick",Heavy Blade; Infernal Blade; Cleave; Flex; Spot Weakness; Corruption; SKIP,1; 4; 7; 11; 12; 13; 14,7; 9; 14,Paper Frog; Bottled Flame; Sundial,,,2; 3; 5,Shining Light; The Cleric; Living Wall,Entered Light; Healed; Grow,0; 20; 0,16; 0; 0,0; 0; 0,0; 0; 0,0; 0; 0,0; 35; 0,; ; ,; ; ,"Defend_R, Strike_R; ; Infernal Blade",; ; ,; ; ,; ; ,; ; ,,,,,0,7; 12; 13,AttackPotion; SteroidPotion; Fire Potion,"7, 12, 13","13, 13, 14"
91a80763-c91c-4a89-ad48-f91ce6c88816,2020-01-27,1601509580,20201001074620,319,-2765558698415357695,False,0,False,36,6,Gremlin Nob,THE_SILENT,"Strike_G, Strike_G, Strike_G, Strike_G, Strike_G, Defend_G, Defend_G, Defend_G, Defend_G, Defend_G, Survivor, Neutralize, Blur, Catalyst, Predator, Doubt",Ring of the Snake,TEN_PERCENT_HP_BONUS,NONE,318,"112, 129, 143, 318, 318, 318, 318",70836,"M, M, M, ?, ?, E","M, M, M, ?, ?, E",0,0,,,,"77, 77, 77, 77, 77, 77, 77","77, 77, 68, 68, 68, 4, 4",0; 0; 9; 64,2 Louse; Small Slimes; Cultist; Gremlin Nob,1; 2; 3; 6,2; 7; 5; 7,"Noxious Fumes, Dagger Throw; Heel Hook, Flying Knee; Footwork, Dagger Spray",Blur; Catalyst; Predator,1; 2; 3,,,,,4; 5,Liars Game; Scrap Ooze,AGREE; Fled,0; 0,0; 0,0; 0,0; 0,175; 0,0; 0,Doubt; ,; ,; ,; ,; ,; ,; ,,,,,0,1,Dexterity Potion,1,6
8bc95b48-3f84-4faa-a122-df3d5bd505f2,2020-07-30,1601509582,20200930194622,1225,-2291889784089033260,True,5,False,349,33,Automaton,THE_SILENT,"Strike_G, Strike_G, Strike_G, Strike_G, Strike_G, Defend_G, Defend_G, Defend_G, Defend_G, Defend_G, Survivor, Neutralize, Crippling Poison+1, Poisoned Stab+1, Dodge and Roll, Catalyst+1, Bane, Poisoned Stab, Adrenaline, Terror+1, Footwork+1, Noxious Fumes, Bane, Endless Agony+1","SlaversCollar, StrikeDummy, MawBank, Juzu Bracelet, Philosopher's Stone, Membership Card, Tiny Chest, Pantograph, Bottled Lightning, Letter Opener",BOSS_RELIC,NONE,55,"114, 124, 124, 135, 310, 310, 72, 72, 96, 122, 209, 233, 271, 261, 261, 363, 363, 380, 380, 188, 188, 201, 201, 227, 227, 227, 189, 189, 149, 25, 55, 55, 55, 55",620742,"M, M, $, M, ?, R, $, R, T, M, ?, M, E, $, R, B, None, M, ?, $, ?, M, R, E, R, T, $, R, ?, $, E, R, B","M, M, ?, M, ?, R, $, R, T, ?, ?, M, E, $, R, BOSS, M, ?, $, ?, M, R, E, R, T, ?, R, ?, $, E, R, BOSS",4,3,6.0; 8.0; 15.0; 23.0; 25.0; 28.0; 32.0,SMITH; SMITH; REST; REST; REST; REST; SMITH,Crippling Poison; Poisoned Stab; ; ; ; ; Footwork,"70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70","67, 66, 66, 62, 62, 62, 62, 62, 62, 57, 46, 42, 24, 24, 45, 17, 57, 55, 55, 55, 55, 39, 60, 23, 44, 44, 44, 65, 65, 65, 50, 50, 0, 0",3.0; 1.0; 4.0; 5.0; 4.0; 18.0; 28.0; 2.0; 16.0; 37.0; 15.0; 77,Cultist; 2 Louse; Jaw Worm; Looter; Large Slime; Gremlin Nob; The Guardian; Shell Parasite; Spheric Guardian; Book of Stabbing; Gremlin Leader; Automaton,1.0; 2.0; 4.0; 10.0; 12.0; 13.0; 16.0; 18.0; 22.0; 24.0; 31.0; 33,4.0; 3.0; 4.0; 4.0; 6.0; 4.0; 9.0; 4.0; 5.0; 5.0; 3.0; 10,"Poisoned Stab, Flechettes; Dagger Throw, Flying Knee; Accuracy, Prepared; Backstab, Crippling Poison; Sucker Punch, Dagger Throw, Cloak And Dagger; Underhanded Strike, Cloak And Dagger; Burst, Storm of Steel; Outmaneuver, Underhanded Strike+1; Concentrate, Backflip, Reflex+1; Distraction, Heel Hook; Underhanded Strike, Deadly Poison",Crippling Poison; Poisoned Stab; Dodge and Roll; Catalyst; SKIP; Bane; Adrenaline; Terror+1; SKIP; Bane; Endless Agony+1,1.0; 2.0; 4.0; 10.0; 12.0; 13.0; 16.0; 18.0; 22.0; 24.0; 31.0,9.0; 13.0; 24.0; 26.0; 31.0,MawBank; Juzu Bracelet; Tiny Chest; Pantograph; Letter Opener,"Snecko Eye, Velvet Choker",Philosopher's Stone,5.0; 11.0; 19.0; 21.0; 29.0,Liars Game; World of Goop; The Library; Beggar; Designer,AGREE; Gather Gold; Read; Ignored; Upgrade,0.0; 0.0; 0.0; 0.0; 0.0,0.0; 11.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 0.0,175.0; 75.0; 0.0; 0.0; 0.0,0.0; 0.0; 0.0; 0.0; 40.0,Doubt; ; Footwork; ; ,; ; ; ; ,; ; ; ; Catalyst,; ; ; ; ,; ; ; ; ,; ; ; ; ,; ; ; ; ,"StrikeDummy, Poisoned Stab, Membership Card, Noxious Fumes, Bottled Lightning","7, 14, 20, 20, 30",Doubt,27,1,1.0; 4.0; 10.0; 24.0,GhostInAJar; Explosive Potion; SpeedPotion; EssenceOfSteel,"1, 4, 10, 13, 24","33, 33"
